"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"23-Aug-2017","    24084.95","    24350.00","    24074.15","    24316.80","       69104870","         2237.97"
"24-Aug-2017","    24374.75","    24411.05","    24224.85","    24274.20","       72359374","         2608.19"
"28-Aug-2017","    24351.25","    24422.45","    24301.35","    24377.10","       52177374","         1685.70"
"29-Aug-2017","    24302.00","    24320.95","    24103.30","    24128.95","       60922360","         1975.39"
"30-Aug-2017","    24253.05","    24384.10","    24241.30","    24308.70","       47423550","         1608.21"
"31-Aug-2017","    24354.35","    24354.35","    24207.70","    24318.40","       79848731","         2870.65"
"01-Sep-2017","    24389.20","    24494.35","    24319.20","    24434.00","       66906837","         1827.58"
"04-Sep-2017","    24456.30","    24459.35","    24156.40","    24236.85","       52531466","         1554.69"
"05-Sep-2017","    24272.60","    24388.05","    24256.30","    24328.30","       47757761","         1582.70"
"06-Sep-2017","    24192.40","    24331.30","    24151.10","    24279.15","       59006554","         1996.25"
"07-Sep-2017","    24324.85","    24413.10","    24246.90","    24304.90","       69696218","         2419.01"
"08-Sep-2017","    24409.50","    24419.25","    24273.00","    24370.80","       47085077","         1785.72"
